DATE/TIME	LASER;PUMP	COMMAND
2022-05-23-10-19-37	Wait for warmup...Wait for Power Stabilization	STATUS=?
2022-05-23-10-19-57		STATUS=?
2022-05-23-10-20-01	Maintenance	STATUS=?
2022-05-23-10-20-03	1 Error detected !	STATUS=?
2022-05-23-10-30-38	Maintenance	STATUS=?
2022-05-23-10-30-41	STANDBY	CLEAR_ERROR
2022-05-23-10-30-44	<KEY SWITCH> is On	START
2022-05-23-10-30-49	System WarmupSetting pump current to 0A	STATUS=?
2022-05-23-10-30-54	Elapsed Time: 5 secSetting diodes 4.78A	STATUS=?
2022-05-23-10-31-00	Wait for warmup...Waiting for pump: 295 s	STATUS=?
2022-05-23-10-35-30	Wait for warmup...Waiting for pump: 26 s	STATUS=?
2022-05-23-10-35-32	Elapsed Time: 4 min 43 sWaiting for pump: 24 s	STATUS=?
2022-05-23-11-20-57		STATUS=?
2022-05-23-11-20-58		STATUS=?
2022-05-23-11-21-01		STATUS=?
2022-05-23-11-21-03		STATUS=?
2022-05-23-11-21-05		STATUS=?
2022-05-23-11-21-08		STATUS=?
2022-05-23-11-21-13	1 Error detected !	STATUS=?
2022-05-23-11-21-17	STANDBY	CLEAR_ERROR
2022-05-23-11-21-20	<KEY SWITCH> is On	START
2022-05-23-11-26-22	Wait for warmup...Waiting for pump: 11 s	STATUS=?
2022-05-23-11-26-25	Press <STOP> to abortWaiting for pump: 7 s	STATUS=?
2022-05-23-11-26-30	Wait for warmup...Waiting for pump: 3 s	STATUS=?
2022-05-23-11-26-34	Press <STOP> to abortWait after beam loops	STATUS=?
2022-05-23-11-28-17	System WarmupWait for Power Stabilization	STATUS=?
2022-05-23-11-51-43	1 Error detected !	STATUS=?
2022-05-23-11-59-34	STANDBY	CLEAR_ERROR
